[2025-12-17T18:06:32.565302400] [main] Menu option 1 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:09:41.388826400] [main] Menu option 1 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:10:11.231128500] [main] Menu option 1 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:11:34.590598400] [main] Menu option 2 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:11:38.108841600] [main] Menu option 3 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:11:52.711132100] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:12:06.857968400] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:12:27.336009400] [main] Menu option 5 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:14:30.442161300] [main] Menu option 6 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:15:10.949090200] [main] Menu option 7 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:15:37.841230700] [main] Menu option 8 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:15:46.572386500] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:16:02.323808] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:16:16.421246100] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:16:31.776598900] [main] Menu option 9 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:16:42.628674900] [main] Menu option 8 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:17:05.084805900] [main] Menu option 10 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:18:48.581376700] [main] Menu option 1 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:19:19.117811400] [main] Menu option 1 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:20:09.293914100] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:20:22.776536700] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:20:35.666025200] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:20:56.027579600] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:21:13.069653200] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:21:35.119563900] [main] Menu option 11 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:22:06.299572500] [main] Menu option 12 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:22:23.478568700] [main] Menu option 12 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:23:00.124014500] [main] Menu option 13 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:23:50.737638800] [main] Menu option 1 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:24:20.828405500] [main] Menu option 14 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:24:24.546504400] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:24:49.599300800] [main] Menu option 14 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:24:53.640966300] [main] Menu option 4 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:25:11.706887] [main] Menu option 15 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:25:36.547160200] [main] Menu option 16 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:25:50.862461700] [main] Menu option 18 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:37:11.719339800] [main] Menu option 9 selected -  (Duration: 0ms, Success: true)
[2025-12-17T18:37:53.150364500] [main] Menu option 10 selected -  (Duration: 0ms, Success: true)
[2025-12-17T19:10:19.987607200] [main] Selected menu option 1 -  (Duration: 0ms, Success: true)
